Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,AttritionFlag,AvgWorkingHours,PercentOvertime,TotalLeaves,OvertimeRatio,OvertimeFlag,IncomePerHour,TimeSinceLastPromoRatio,Satisfaction_X_Hours,CommuteStressIndex,TenureBucket,RiskScore,RiskCohort,log_income
51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Healthcare Representative,Married,131160.0,1.0,11,8,0,1.0,6,1,0,0,3,4,2,3,3,0,7.373650622605364,0.0,17,0.9217063278256705,0,4108.004924823884,0.0,51.615554358237546,14.348461582115807,1-3,1.0,Low,11.784180855205214
31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,2,Female,1,Research Scientist,Single,41890.0,0.0,23,8,1,6.0,3,5,1,4,3,2,4,2,4,1,7.718968926553672,0.17796610169491525,13,0.964871115819209,0,1253.3234669197284,0.2,38.594844632768364,18.509279099860564,5-10,0.5,Low,10.642826285701982
32,No,Travel_Frequently,Research & Development,17,4,Other,3,Male,4,Sales Executive,Married,165835.0,1.0,15,8,3,5.0,2,5,0,3,2,2,1,3,3,0,7.013240358126722,0.0,7,0.8766550447658402,0,5460.967292827968,0.0,28.052961432506887,20.270871862467057,5-10,1.0,Low,12.018754627185396
38,No,Non-Travel,Research & Development,2,5,Life Sciences,4,Male,3,Human Resources,Married,83210.0,3.0,11,8,3,13.0,5,8,7,5,4,4,3,2,3,0,7.193678486997636,0.0,14,0.8992098108747045,0,2671.385731794713,0.875,57.54942789598109,7.903063586543016,5-10,0.5,Low,11.329134829608586
32,No,Travel_Rarely,Research & Development,10,1,Medical,5,Male,1,Sales Executive,Single,23420.0,4.0,12,8,2,9.0,2,6,0,4,4,1,3,3,3,0,8.006174603174603,0.46938775510204084,4,1.0007718253968254,1,675.5755713071214,0.0,40.03087301587301,19.197968234150753,5-10,1.5,Medium,10.0613883347884
46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,6,Female,4,Research Director,Married,40710.0,3.0,13,8,0,28.0,5,7,7,7,3,2,2,3,3,0,10.796095874355368,1.0,12,1.349511984294421,1,870.8562506739612,1.0,53.98047937177684,23.721447194411777,5-10,3.5,High,10.614253605184526
28,Yes,Travel_Rarely,Research & Development,11,2,Medical,7,Male,2,Sales Executive,Single,58130.0,2.0,20,8,1,5.0,2,0,0,0,1,3,1,3,4,1,6.923570402298851,0.004310344827586207,17,0.8654463002873564,0,1939.0201129206293,0.0,27.694281609195404,17.204426132947795,0-1,1.0,Low,10.970454363368692
29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,8,Male,2,Sales Executive,Married,31430.0,2.0,22,8,3,10.0,2,0,0,0,1,2,3,3,4,0,6.725620713305898,0.0,6,0.8407025891632373,0,1079.2551078181798,0.0,20.176862139917695,19.803179787347084,0-1,0.5,Low,10.355549946021075
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,9,Male,3,Laboratory Technician,Married,20440.0,0.0,21,8,0,10.0,2,9,7,8,2,4,3,3,4,0,7.236498792270532,0.004347826086956522,19,0.9045623490338165,0,652.3257182823621,0.7777777777777778,43.41899275362319,5.015958734987769,5-10,1.0,Low,9.925297966799977
25,No,Non-Travel,Research & Development,7,4,Medical,10,Female,4,Laboratory Technician,Divorced,134640.0,1.0,13,8,1,6.0,2,6,1,5,2,1,3,3,3,0,7.080087844254511,0.0,15,0.8850109805318139,0,4391.85062469844,0.16666666666666666,21.240263532763535,14.722628782085266,5-10,0.0,Low,11.810367256050416
45,No,Travel_Rarely,Research & Development,17,2,Medical,11,Male,2,Laboratory Technician,Married,79910.0,0.0,13,8,2,21.0,2,20,4,10,3,4,3,2,3,0,8.403485477178423,0.921161825726141,8,1.0504356846473029,1,2196.108437158168,0.2,58.82439834024896,24.289197091127086,>10,1.5,Medium,11.288668794368546
36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,12,Male,1,Laboratory Technician,Married,33770.0,0.0,12,8,2,16.0,2,15,10,11,3,4,3,3,3,0,7.06895458736745,0.0,8,0.8836193234209313,0,1103.285657883337,0.6666666666666666,49.48268211157215,23.803261304406174,>10,1.5,Medium,10.427357725022913
55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,13,Female,1,Sales Executive,Single,55380.0,0.0,17,8,0,28.5,2,36,4,13,4,1,3,3,3,0,9.301409509946627,1.0,20,1.1626761887433283,1,1375.043032295848,0.1111111111111111,46.50704754973313,25.188683893944972,>10,2.0,Medium,10.921991853622236
47,Yes,Non-Travel,Research & Development,1,1,Medical,14,Male,1,Research Scientist,Married,57620.0,1.0,11,8,2,10.0,4,10,9,9,1,2,2,2,3,1,9.399931442080378,1.0,14,1.1749914302600473,1,1415.665575365474,0.9,28.199794326241133,6.515535976534795,>10,3.0,High,10.961642363572961
28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,15,Male,1,Manufacturing Director,Married,25920.0,1.0,14,8,0,5.0,2,5,0,4,4,4,2,3,3,0,6.089687644075611,0.0,8,0.7612109555094514,0,982.9967540109598,0.0,48.71750115260489,4.2210498209817455,5-10,1.5,Medium,10.162808729968926
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,16,Male,2,Healthcare Representative,Married,53460.0,4.0,11,8,0,7.0,2,5,0,1,3,4,4,3,3,0,6.705174636661979,0.0,12,0.8381468295827473,0,1841.3271827133237,0.0,46.93622245663385,4.647672894564306,5-10,0.0,Low,10.886707695092223
21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,17,Male,1,Laboratory Technician,Single,42130.0,1.0,12,8,3,3.0,3,3,1,0,4,3,4,2,3,0,6.619040626529613,0.0,22,0.8273800783162016,0,1469.9701507811064,0.3333333333333333,46.333284385707294,9.17593869658147,3-5,0.5,Low,10.648539090746434
37,No,Non-Travel,Research & Development,1,3,Medical,18,Male,2,Sales Executive,Divorced,41270.0,2.0,13,8,1,15.0,2,5,0,2,1,4,3,3,3,0,11.014328139114726,1.0,3,1.3767910173893407,1,865.3435514828753,0.0,55.07164069557363,7.634550495389441,5-10,1.5,Medium,10.627915353129104
35,No,Travel_Rarely,Sales,7,4,Life Sciences,19,Male,1,Sales Representative,Divorced,24380.0,7.0,16,8,0,10.0,5,7,6,2,2,2,2,2,3,0,6.960253831417624,0.0,17,0.870031728927203,0,808.9482258588652,0.8571428571428571,27.841015325670497,14.473440957686048,5-10,2.0,Medium,10.101559419421314
38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,20,Female,1,Manager,Divorced,68700.0,1.0,11,8,1,8.0,5,8,7,7,1,1,3,3,3,0,9.293555796055795,1.0,18,1.1616944745069744,1,1707.2099373468736,0.875,18.58711159211159,20.42002920593927,5-10,1.5,Medium,11.13751903414526
26,No,Travel_Frequently,Research & Development,1,4,Other,21,Male,2,Laboratory Technician,Divorced,104470.0,1.0,18,8,0,6.0,3,6,1,4,3,2,1,3,3,0,7.590778256704981,0.11637931034482758,17,0.9488472820881226,0,3178.464706686413,0.16666666666666666,37.953891283524904,5.261526546890794,5-10,1.0,Low,11.55666479991171
50,No,Travel_Rarely,Sales,8,4,Life Sciences,22,Male,1,Research Scientist,Divorced,96670.0,3.0,23,8,0,28.0,2,10,1,6,1,2,2,2,4,0,6.008613495469718,0.0,16,0.7510766869337148,0,3715.6051260010045,0.1,18.025840486409155,13.202273247960155,>10,1.0,Low,11.479068739876027
53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,23,Female,2,Research Scientist,Married,21480.0,3.0,11,8,0,21.0,2,5,1,3,3,3,2,3,3,0,8.402108477011494,0.9051724137931034,17,1.0502635596264367,1,590.415970419315,0.2,50.41265086206896,20.87845522676599,5-10,3.0,High,9.974924102473977
42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,24,Male,1,Manufacturing Director,Married,89260.0,1.0,14,8,0,10.0,4,20,11,6,2,3,3,1,3,0,6.8070052800734615,0.0,7,0.8508756600091827,0,3028.3976372169036,0.55,34.03502640036731,10.95545236788933,>10,0.5,Low,11.399319941347034
29,No,Travel_Frequently,Research & Development,16,4,Medical,25,Male,1,Laboratory Technician,Single,65130.0,1.0,11,8,1,10.0,2,10,0,9,2,4,2,3,3,0,7.093167388167388,0.004329004329004329,18,0.8866459235209235,0,2120.571758096528,0.0,42.55900432900433,20.096456495780224,>10,1.0,Low,11.084155905330146
55,No,Travel_Rarely,Research & Development,1,4,Other,26,Female,1,Research Scientist,Married,67990.0,3.0,11,8,0,12.0,2,10,0,8,2,4,3,3,3,0,9.362002074688796,1.0,8,1.1702502593360995,1,1677.2137408933343,0.0,56.172012448132776,6.489245342466897,>10,1.0,Low,11.127130622457644
26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,27,Female,1,Manager,Married,162910.0,1.0,22,8,0,5.0,3,5,3,3,1,1,3,3,4,0,10.977123430962342,1.0,10,1.3721404288702927,1,3427.45135541286,0.6,21.954246861924684,25.275760776089545,5-10,2.0,Medium,12.000959318399978
37,No,Travel_Rarely,Sales,5,1,Marketing,28,Male,1,Research Scientist,Single,27050.0,1.0,11,8,0,17.0,2,17,5,7,4,4,3,3,3,0,7.604444444444445,0.09322033898305085,13,0.9505555555555556,0,821.508160078179,0.29411764705882354,60.83555555555556,13.62533534155201,>10,0.5,Low,10.205479252168017
44,Yes,Travel_Frequently,Research & Development,1,2,Medical,29,Male,2,Research Scientist,Divorced,103330.0,3.0,14,8,1,19.0,2,1,0,0,4,3,1,2,3,1,10.97758573388203,1.0,6,1.3721982167352538,1,2173.8606209047502,0.0,76.84310013717422,7.609082600795407,1-3,2.0,Medium,11.545692706893112
38,No,Travel_Rarely,Sales,2,3,Marketing,30,Female,1,Manager,Divorced,44480.0,9.0,12,8,0,10.0,3,2,1,2,4,4,3,2,3,0,6.8312753623188405,0.0,19,0.8539094202898551,0,1503.7480962455618,0.5,54.650202898550724,7.504923060319171,1-3,0.0,Low,10.702817410686135
26,Yes,Travel_Rarely,Research & Development,4,3,Medical,31,Male,3,Research Scientist,Divorced,68540.0,2.0,11,8,0,5.0,5,3,0,2,1,2,3,2,3,1,10.10940826330532,1.0,11,1.263676032913165,1,1565.7790144468802,0.0,30.328224789915964,16.27046493123816,3-5,1.0,Low,11.135187385342592
28,No,Travel_Rarely,Research & Development,7,3,Other,32,Male,1,Human Resources,Single,96370.0,1.0,13,8,0,5.0,6,5,0,2,4,4,3,2,3,0,6.709665977961433,0.0,7,0.8387082472451791,0,3317.0579746240983,0.0,53.67732782369146,13.952358165368866,5-10,0.0,Low,11.475960605464735
